FpML Index Name (floating rate+inflation index),FPML index alias in Moss,LCH Scenario Index Name,CME Scenario Index Name,CCP Scenario Index Name,,Traiana ScenarioFile Index  pool (LCH Dec. 2017),Currency,LCH Scenario Index Name,Default CCP Index
USD-SIBOR-SIBO,,,,,,,,,
USD-SIFMA Municipal Swap Index,,,,,,,,,
USD-TBILL-H.15,,,,,,,,,
USD-TBILL-H.15-Bloomberg,,,,,,,,,
USD-TBILL-Secondary Market,,,,,,,,,
USD-TIBOR-ISDC,,,,,,,,,
USD-TIBOR-Reference Banks,,,,,,,,,
USD-Treasury-19901-3:00-ICAP,,,,,,,,,
USD-Treasury Rate-ICAP BrokerTec,,,,,,,,,
USD-Treasury Rate-SwapMarker100,,,,,,,,,
USD-Treasury Rate-SwapMarker99,,,,,,,,,
USD-Treasury Rate-T19901,,,,,,,,,
USD-Treasury Rate-T500,,,,,,,,,
VND-Semi-Annual Swap Rate-11:00-BGCANTOR,,,,,,,,,
VND-Semi-Annual Swap Rate-Reference Banks,,,,,,,,,
ZAR-DEPOSIT-Reference Banks,,,,,,,,,
ZAR-DEPOSIT-SAFEX,,,,,,,,,
ZAR-PRIME-AVERAGE,,,,,,,,,
ZAR-PRIME-AVERAGE-Reference Banks,,,,,,,,,
ZAR-Quarterly Swap Rate-1:00-TRADITION,,,,,,,,,
ZAR-Quarterly Swap Rate-5:30-TRADITION,,,,,,,,,
ZAR-Quarterly Swap Rate-TRADITION-Reference Banks,,,,,,,,,
USD-3M LIBOR SWAP-CME vs LCH-ICAP,,,,,,,,,
USD-3M LIBOR SWAP-CME vs LCH-ICAP-Bloomberg,,,,,,,,,
USD-6M LIBOR SWAP-CME vs LCH-ICAP,,,,,,,,,
USD-6M LIBOR SWAP-CME vs LCH-ICAP-Bloomberg,,,,,,,,,
AUD-CPI,,,,,,,,,
AUS-CPI,,,,,,,,,
AUS-HICP,,,,,,,,,
BLG-CPI-GI,,,,,,,,,
BLG-CPI-HI,,,,,,,,,
BLG-HICP,,,,,,,,,
BRL-IGPM,,,,,,,,,
BRL-IPCA,,,,,,,,,
CAD-CPI,,,,,,,,,
CLP-CPI,,,,,,,,,
CNY-CPI,,,,,,,,,
CZK-CPI,,,,,,,,,
DEK-CPI,,,,,,,,,
DEK-HICP,,,,,,,,,
DEM-CPI,,,,,,,,,
DEM-CPI-NRW,,,,,,,,,
DEM-HICP,,,,,,,,,
ESP-CPI,,,,,,,,,
ESP-HICP,,,,,,,,,
ESP-R-CPI,,,,,,,,,
ESP-R-HICP,,,,,,,,,
EUR-AI-CPI,,,,,,,,,
EUR-AI-R-CPI,,,,,,,,,
FIN-CPI,,,,,,,,,
FIN-HICP,,,,,,,,,
GRD-CPI,,,,,,,,,
GRD-HICP,,,,,,,,,
HKD-CPI,,,,,,,,,
HUF-CPI,,,,,,,,,
IDR-CPI,,,,,,,,,
ILS-CPI,,,,,,,,,
IRL-CPI,,,,,,,,,
IRL-HICP,,,,,,,,,
ISK-CPI,,,,,,,,,
ISK-HICP,,,,,,,,,
ITL-BC-EXT-CPI,,,,,,,,,
ITL-BC-INT-CPI,,,,,,,,,
ITL-HICP,,,,,,,,,
ITL-WC-EXT-CPI,,,,,,,,,
ITL-WC-INT-CPI,,,,,,,,,
JPY-CPI-EXF,,,,,,,,,
KRW-CPI,,,,,,,,,
LUX-CPI,,,,,,,,,
LUX-HICP,,,,,,,,,
MXN-CPI,,,,,,,,,
MXN-UDI,,,,,,,,,
MYR-CPI,,,,,,,,,
NLG-CPI,,,,,,,,,
NLG-HICP,,,,,,,,,
NOK-CPI,,,,,,,,,
NZD-CPI,,,,,,,,,
PER-CPI,,,,,,,,,
PLN-CPI,,,,,,,,,
POR-CPI,,,,,,,,,
POR-HICP,,,,,,,,,
RUB-CPI,,,,,,,,,
SEK-CPI,,,,,,,,,
SGD-CPI,,,,,,,,,
SWF-CPI,,,,,,,,,
TRY-CPI,,,,,,,,,
TWD-CPI,,,,,,,,,
UK-HICP,,,,,,,,,
UK-RPIX,,,,,,,,,
ZAR-CPI,,,,,,,,,
ZAR-CPIX,,,,,,,,,
